column,row,value,qnode
,,DT.GPA.PRVT,P110221
,,DT.GRE.DPPG,P110222
,,DT.GRE.OFFT,P110223
,,DT.GRE.PRVT,P110224
,,DT.INR.DPPG,P110225
,,DT.INR.OFFT,P110226
,,DT.INR.PRVT,P110227
,,DT.INT.BLAT.CD,P110228
,,DT.INT.BLTC.CD,P110229
,,DT.INT.DECT.CD,P110230
,,DT.INT.DECT.EX.ZS,P110231
,,DT.INT.DECT.GN.ZS,P110232
,,DT.INT.DIMF.CD,P110233
,,DT.INT.DLXF.CD,P110234
,,DT.INT.DPNG.CD,P110235
,,DT.INT.DPPG.CD,P110236
,,DT.INT.DSTC.CD,P110237
,,DT.INT.MIBR.CD,P110238
,,DT.INT.MIDA.CD,P110239
,,DT.INT.MLAT.CD,P110240
,,DT.INT.MLTC.CD,P110241
,,DT.INT.OFFT.CD,P110242
,,DT.INT.PBND.CD,P110243
,,DT.INT.PCBK.CD,P110244
,,DT.INT.PNGB.CD,P110245
,,DT.INT.PNGC.CD,P110246
,,DT.INT.PROP.CD,P110247
,,DT.INT.PRVT.CD,P110248
,,DT.IXA.DPPG.CD,P110249
,,DT.IXA.DPPG.CD.CG,P110250
,,DT.IXA.OFFT.CD,P110251
,,DT.IXA.PRVT.CD,P110252
,,DT.IXF.DPPG.CD,P110253
,,DT.IXR.DPPG.CD,P110254
,,DT.IXR.OFFT.CD,P110255
,,DT.IXR.PRVT.CD,P110256
,,DT.MAT.DPPG,P110257
,,DT.MAT.OFFT,P110258
,,DT.MAT.PRVT,P110259
,,DT.NFL.BLAT.CD,P110260
,,DT.NFL.BLTC.CD,P110261
,,DT.NFL.BOND.CD,P110262
,,DT.NFL.DECT.CD,P110263
,,DT.NFL.DLXF.CD,P110264
,,DT.NFL.DPNG.CD,P110265
,,DT.NFL.DPPG.CD,P110266
,,DT.NFL.DSTC.CD,P110267
,,DT.NFL.FAOG.CD,P110268
,,DT.NFL.IAEA.CD,P110269
,,DT.NFL.IFAD.CD,P110270
,,DT.NFL.ILOG.CD,P110271
,,DT.NFL.IMFC.CD,P110272
,,DT.NFL.IMFN.CD,P110273
,,DT.NFL.MIBR.CD,P110274
,,DT.NFL.MIDA.CD,P110275
,,DT.NFL.MLAT.CD,P110276
,,DT.NFL.MLTC.CD,P110277
,,DT.NFL.MOTH.CD,P110278
,,DT.NFL.NEBR.CD,P110279
,,DT.NFL.NIFC.CD,P110280
,,DT.NFL.OFFT.CD,P110281
,,DT.NFL.PBND.CD,P110282
,,DT.NFL.PCBK.CD,P110283
,,DT.NFL.PCBO.CD,P110284
,,DT.NFL.PNGB.CD,P110285
,,DT.NFL.PNGC.CD,P110286
,,DT.NFL.PROP.CD,P110287
,,DT.NFL.PRVT.CD,P110288
,,DT.NFL.RDBC.CD,P110289
,,DT.NFL.RDBN.CD,P110290
,,DT.NFL.UNAI.CD,P110291
,,DT.NFL.UNCF.CD,P110292
,,DT.NFL.UNCR.CD,P110293
,,DT.NFL.UNDP.CD,P110294
,,DT.NFL.UNEC.CD,P110295
,,DT.NFL.UNFP.CD,P110296
,,DT.NFL.UNPB.CD,P110297
,,DT.NFL.UNRW.CD,P110298
,,DT.NFL.UNTA.CD,P110299
,,DT.NFL.WFPG.CD,P110300
,,DT.NFL.WHOL.CD,P110301
,,DT.NTR.BLAT.CD,P110302
,,DT.NTR.BLTC.CD,P110303
,,DT.NTR.DECT.CD,P110304
,,DT.NTR.DLXF.CD,P110305
,,DT.NTR.DPNG.CD,P110306
,,DT.NTR.DPPG.CD,P110307
,,DT.NTR.MIBR.CD,P110308
,,DT.NTR.MIDA.CD,P110309
,,DT.NTR.MLAT.CD,P110310
,,DT.NTR.MLTC.CD,P110311
,,DT.NTR.OFFT.CD,P110312
,,DT.NTR.PBND.CD,P110313
,,DT.NTR.PCBK.CD,P110314
,,DT.NTR.PNGB.CD,P110315
,,DT.NTR.PNGC.CD,P110316
,,DT.NTR.PROP.CD,P110317
,,DT.NTR.PRVT.CD,P110318
,,DT.ODA.ALLD.CD,P110319
,,DT.ODA.ALLD.KD,P110320
,,DT.ODA.OATL.CD,P110321
,,DT.ODA.OATL.KD,P110322
,,DT.ODA.ODAT.CD,P110323
,,DT.ODA.ODAT.GI.ZS,P110324
,,DT.ODA.ODAT.GN.ZS,P110325
,,DT.ODA.ODAT.KD,P110326
,,DT.ODA.ODAT.MP.ZS,P110327
,,DT.ODA.ODAT.PC.ZS,P110328
,,DT.ODA.ODAT.XP.ZS,P110329
,,DT.TDS.BLAT.CD,P110330
,,DT.TDS.BLTC.CD,P110331
,,DT.TDS.DECT.CD,P110332
,,DT.TDS.DECT.EX.ZS,P110333
,,DT.TDS.DECT.GN.ZS,P110334
,,DT.TDS.DIMF.CD,P110335
,,DT.TDS.DLXF.CD,P110336
,,DT.TDS.DPNG.CD,P110337
,,DT.TDS.DPPF.XP.ZS,P110338
,,DT.TDS.DPPG.CD,P110339
,,DT.TDS.DPPG.GN.ZS,P110340
,,DT.TDS.DPPG.XP.ZS,P110341
,,DT.TDS.MIBR.CD,P110342
,,DT.TDS.MIDA.CD,P110343
,,DT.TDS.MLAT.CD,P110344
,,DT.TDS.MLAT.PG.ZS,P110345
,,DT.TDS.MLTC.CD,P110346
,,DT.TDS.OFFT.CD,P110347
,,DT.TDS.PBND.CD,P110348
,,DT.TDS.PCBK.CD,P110349
,,DT.TDS.PNGB.CD,P110350
,,DT.TDS.PNGC.CD,P110351
,,DT.TDS.PROP.CD,P110352
,,DT.TDS.PRVT.CD,P110353
,,DT.TXR.DPPG.CD,P110354
,,DT.UND.DPPG.CD,P110355
,,DT.UND.OFFT.CD,P110356
,,DT.UND.PRVT.CD,P110357
,,EA.PRD.AGRI.KD,P110358
,,EG.CFT.ACCS.ZS,P110359
,,EG.EGY.PRIM.PP.KD,P110360
,,EG.ELC.ACCS.RU.ZS,P110361
,,EG.ELC.ACCS.UR.ZS,P110362
,,EG.ELC.ACCS.ZS,P110363
,,EG.ELC.COAL.ZS,P110364
,,EG.ELC.FOSL.ZS,P110365
,,EG.ELC.HYRO.ZS,P110366
,,EG.ELC.LOSS.ZS,P110367
,,EG.ELC.NGAS.ZS,P110368
,,EG.ELC.NUCL.ZS,P110369
,,EG.ELC.PETR.ZS,P110370
,,EG.ELC.RNEW.ZS,P110371
,,EG.ELC.RNWX.KH,P110372
,,EG.ELC.RNWX.ZS,P110373
,,EG.FEC.RNEW.ZS,P110374
,,EG.GDP.PUSE.KO.PP,P110375
,,EG.GDP.PUSE.KO.PP.KD,P110376
,,EG.IMP.CONS.ZS,P110377
,,EG.USE.COMM.CL.ZS,P110378
,,EG.USE.COMM.FO.ZS,P110379
,,EG.USE.COMM.GD.PP.KD,P110380
,,EG.USE.CRNW.ZS,P110381
,,EG.USE.ELEC.KH.PC,P110382
,,EG.USE.PCAP.KG.OE,P110383
,,EN.ATM.CO2E.EG.ZS,P110384
,,EN.ATM.CO2E.GF.KT,P110385
,,EN.ATM.CO2E.GF.ZS,P110386
,,EN.ATM.CO2E.KD.GD,P110387
,,EN.ATM.CO2E.KT,P110388
,,EN.ATM.CO2E.LF.KT,P110389
,,EN.ATM.CO2E.LF.ZS,P110390
,,EN.ATM.CO2E.PC,P110391
,,EN.ATM.CO2E.PP.GD,P110392
,,EN.ATM.CO2E.PP.GD.KD,P110393
,,EN.ATM.CO2E.SF.KT,P110394
,,EN.ATM.CO2E.SF.ZS,P110395
,,EN.ATM.GHGO.KT.CE,P110396
,,EN.ATM.GHGO.ZG,P110397
,,EN.ATM.GHGT.KT.CE,P110398
,,EN.ATM.GHGT.ZG,P110399
,,EN.ATM.HFCG.KT.CE,P110400
,,EN.ATM.METH.AG.KT.CE,P110401
,,EN.ATM.METH.AG.ZS,P110402
,,EN.ATM.METH.EG.KT.CE,P110403
,,EN.ATM.METH.EG.ZS,P110404
,,EN.ATM.METH.KT.CE,P110405
,,EN.ATM.METH.ZG,P110406
,,EN.ATM.NOXE.AG.KT.CE,P110407
,,EN.ATM.NOXE.AG.ZS,P110408
,,EN.ATM.NOXE.EG.KT.CE,P110409
,,EN.ATM.NOXE.EG.ZS,P110410
,,EN.ATM.NOXE.KT.CE,P110411
,,EN.ATM.NOXE.ZG,P110412
,,EN.ATM.PFCG.KT.CE,P110413
,,EN.ATM.PM25.MC.M3,P110414
,,EN.ATM.PM25.MC.ZS,P110415
,,EN.ATM.SF6G.KT.CE,P110416
,,EN.BIR.THRD.NO,P110417
,,EN.CLC.DRSK.XQ,P110418
,,EN.CLC.GHGR.MT.CE,P110419
,,EN.CLC.MDAT.ZS,P110420
,,EN.CO2.BLDG.ZS,P110421
,,EN.CO2.ETOT.ZS,P110422
,,EN.CO2.MANF.ZS,P110423
,,EN.CO2.OTHX.ZS,P110424
,,EN.CO2.TRAN.ZS,P110425
,,EN.FSH.THRD.NO,P110426
